,FREGUESIA,Shape__Area,Shape__Length,DESIGNACAO
24,São Vicente,1006.28125,159.278168475596,Miradouro Nossa Senhora do Monte
25,Belém,6090.4052734375,311.95208298975103,Jardim Praça de Damão
26,Parque das Nações,20171.248046875,1645.70595658454,Jardim Garcia de Orta - Parque das Nações
27,Santa Maria de Olivais,61300.408203125,1491.8372224013,Parque Urbano dos Olivais
28,Estrela,6383.27587890625,331.01683214421,Jardim Nuno Álvares / Jardim de Santos
29,Parque das Nações,432450.529785156,7997.54334962617,Parque Urbano do Tejo e Trancão
30,Belém,8224.09375,362.119113168732,Jardim Praça de Malaca
31,Belém,31919.04296875,1322.27091371116,Jardim do Palacio Nacional de Belém
32,Alvalade,180264.302734375,2432.97392915988,Parque José Gomes Ferreira - Mata de Alvalade
33,Marvila,4715.74560546875,288.092836893461,Viveiro da Quinta do Beirão
34,Ajuda,17370.626953125,1449.17846862482,Palácio da Ajuda
35,Belém,85043.3852539063,1458.3301467906101,Parque Recreativo dos Moínhos de Santana
36,Belém,69228.4462890625,1164.07373841046,Jardim Vasco da Gama
37,Belém,23243.25390625,597.275834756556,Jardim Afonso de Albuquerque
38,Avenidas Novas,111936.382324219,1785.42485625207,Jardins da Fundação Calouste Gulbenkian
39,Santo António,5023.51953125,265.803601297955,Jardim Alfredo Keil / Jardim da Alegria
40,Estrela,2924.634765625,283.591936622363,Jardim Cinco de Outubro - Jardim da Burra
41,Estrela,77148.0478515625,1189.45441853458,Jardim Guerra Junqueiro - Jardim da Estrela
42,Misericórdia,2351.1357421875,196.199567249431,Jardim Fialho de Almeida
