X,Y,OBJECTID_1,OBJECTID,COD_SIG,MORADA,DESIGNACAO,ANO,ESTADO,TIPOLOGIA,ID_TIPO,GlobalID,Shape__Area,Shape__Length
-9.09268845950676,38.7805384763967,154,137,332490,"Passeio dos Heróis do Mar, Jardins Ribeirinhos",Jardins Ribeirinhos,0, , ,5,1bce88d8-ee55-4e7b-b181-0362c6a0ee31,13083.2260742188,1504.07193484762
-9.1485372900184,38.7182600672296,155,138,4600702050,"Rua da Escola Politécnica, Jardim Botânico da Faculdade de Ciências",Jardim Botânico da Faculdade de Ciências da Universidade Lisboa,0, , ,5,69707143-94cd-4ba5-87b7-d5a4daaa1e33,92669.3901367188,1510.01825958809
-9.1556340513402,38.7139449535529,156,139,1702901001,"Rua da Imprensa à Estrela, Jardim Elisa Baptista Sousa Pedroso",Jardim Elisa Baptista Sousa Pedroso - Jardim Salazar - Jardim da Imprensa,0, , ,5,435a2904-e125-46f1-b60a-6e6009dbb1a9,7007.4560546875,412.712592734607
-9.12687952635797,38.7508779312135,157,3,2105601001,"Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas), Parque da Belavista-Central",Parque da Belavista-Central,2007,requalificado,Parques peri-urbanos,5,92e71b0c-5661-43a2-b862-6bab17f824d7,527046.867675781,3538.16100128374
-9.12842865705412,38.7574201611765,158,3,210430,"Avenida José Régio, Parque da Belavista-Golfe",Parque da Belavista-Golfe,2013,requalificado,Parques peri-urbanos,5,b60902e5-2d3e-4278-9935-e5149f98ce62,261318.604492188,3164.24397417713
-9.12285310527443,38.7445108840998,159,3,212780,"Acesso à Azinhaga Pombeiro, Parque da Belavista-Sul",Parque da Belavista-Sul (zona com equipamento),2013,requalificado,Parques peri-urbanos,5,41c468ec-4e8c-41f2-8875-84af8dd3bd96,78168.8696289063,1796.43948518198
-9.16745389094231,38.7357320798289,160,153,101130,Rua de Campolide,Corredor Verde de Monsanto: Parque Urbano Quinta do Zé Pinto,2012,novo,Espaços Verdes Urbanos,5,1a7f7ff2-89dd-48a9-8275-14b097c1c179,79052.2202148438,1153.42917156639
-9.19091244810078,38.7528593262001,161,140,0806203101,"Avenida do Colégio Militar, Quinta da Granja",Quinta da Granja,0,novo, ,5,2b2ecbcf-e873-4484-84b1-9fce3519a7bc,67227.6064453125,1962.46513845067
-9.16513376822749,38.7607059285708,162,141,1807307100,"Praça Prof. Rodrigues Lapa, Jardim Professor Francisco Caldeira Cabral",Jardim Professor Francisco Caldeira Cabral (Norte),0, , ,5,cfc535c3-274f-42c8-a4fa-ff72a44a645b,6880.478515625,1150.00789057331
-9.21287848868945,38.6984177519259,163,142,3200406001,"Praça de Dio(Praça de Diu), Jardim da Praça de Diu",Jardim da Praça de Diu,0, , ,5,8261ea5c-fa01-464f-9822-1e9613c90d25,7038.77490234375,334.271725227882
-9.13207017008735,38.7172952645864,164,322,90131,Miradouro Sophia Mello Breyner Andresen,Jardim da Cerca da Graça,2015,novo, , ,ea3534e3-84b5-49f1-b6de-31e47682bf07,22925.3037109375,975.371227812983
-9.1315620224923,38.7163807108345,165,25,160200,"Miradouro Sophia Mello Breyner Andresen, Miradouro Sophia de Mello Andresen",Miradouro da Graça - Miradouro Sophia de Mello Andresen,0, , ,5,adc6eb65-395c-45f6-a246-0c24d9572488,1103.0166015625,313.813784179422
-9.1500373239745,38.7252697917025,166,167,140050,Rotunda do Marquês de Pombal,Rotunda do Marquês de Pombal,0, , ,5,0b0062de-8cdc-4e7a-9942-1044db45c287,9720.6826171875,349.766697563733
-9.22146591198353,38.6941216008863,167,641,320580,Avenida de Brasília,Jardins da Fundação Champalimaud,0,novo, ,5,bfc55027-2986-4d53-a649-4fa16c33330b,27823.08203125,1911.59006921372
-9.16152548641786,38.7345944097497,168,131,1003201100,"Rua Marquês de Fronteira, Parque Ventura Terra",Corredor Verde de Monsanto :Parque Ventura Terra,2012,requalificado,Espaços Verdes Vizinhança,5,0e49e8d3-e295-4bff-aab7-8e5e9d075f8f,67507.4868164063,3644.73099979918
-9.12517383179431,38.761770058654,169,,210440,Rua Quinta da Graça,Parque da Bela Vista Norte - Parque Vinícola,2016,novo,,,f5a5ec0b-a170-43e0-a97b-4eea646a17dd,74602.7119140625,1557.81034519049
